id,scan,input_psnr,input_ssim,psnr,ssim,split
train_0070,17,9.1883,0.8363,25.0492,0.9399,train
train_0071,32,21.3979,0.8809,25.9514,0.9529,train
train_0072,31,15.3366,0.8278,24.0031,0.9225,train
train_0073,29,10.3259,0.7797,24.2299,0.9239,train
train_0074,20,11.6169,0.8939,25.2552,0.948,train
train_0075,8,20.9247,0.8615,25.9705,0.954,train
train_0076,42,10.3401,0.7827,24.4182,0.9356,train
train_0077,29,14.8166,0.8122,20.9721,0.8586,train
train_0078,20,11.3393,0.8765,28.5518,0.9745,train
train_0079,41,10.4525,0.8102,22.7641,0.9011,train
train_0080,30,15.7081,0.8824,26.3876,0.9547,train
train_0081,45,10.4086,0.815,22.2871,0.9062,train
train_0082,14,21.8607,0.9293,28.3214,0.9654,train
train_0083,7,5.0688,0.6149,26.1209,0.9553,train
train_0084,47,19.6982,0.8238,21.1145,0.8383,train
train_0085,2,7.8957,0.7379,25.9836,0.9551,train
train_0086,9,18.4533,0.791,22.9193,0.9193,train
train_0087,9,17.7948,0.7741,21.2166,0.8739,train
train_0088,44,15.8655,0.853,23.0767,0.9164,train
train_0089,43,7.99,0.7352,24.2345,0.9322,train
train_0090,48,11.6913,0.8914,28.8969,0.9781,train
train_0091,37,20.2905,0.8488,26.2719,0.9598,train
train_0092,37,18.5133,0.8212,20.1108,0.8469,train
train_0093,28,19.2399,0.8482,23.1908,0.915,train
train_0094,18,10.092,0.751,20.6846,0.87,train
train_0095,40,19.0096,0.8477,22.1084,0.8853,train
train_0096,26,13.9488,0.8238,23.6187,0.8986,train
train_0097,38,8.0407,0.6943,21.9431,0.8608,train
train_0098,14,10.4965,0.8696,25.9371,0.9485,train
train_0099,8,13.9671,0.8234,20.8115,0.8642,train
train_0100,9,17.9959,0.796,23.0743,0.9213,train
train_0101,24,10.3886,0.8729,28.0602,0.9653,train
train_0102,38,12.1256,0.7709,22.0952,0.8702,train
train_0103,2,7.1604,0.7442,23.291,0.9173,train
train_0104,28,17.0829,0.7996,22.8666,0.8988,train
train_0105,21,6.3226,0.709,24.2422,0.9343,train
train_0106,42,8.7247,0.7482,24.176,0.928,train
train_0107,3,19.7347,0.8827,27.207,0.9588,train
train_0108,38,7.7392,0.6969,21.8382,0.8547,train
train_0109,17,9.1628,0.8298,27.7527,0.9657,train
train_0110,34,19.997,0.8418,23.6689,0.9169,train
train_0111,46,16.2667,0.8594,21.9519,0.9074,train
train_0112,9,18.9156,0.7962,21.6438,0.8815,train
train_0113,37,13.155,0.8052,21.4134,0.8855,train
train_0114,42,16.7979,0.8166,21.7591,0.8765,train
train_0115,1,8.5067,0.6649,20.2871,0.8259,train
train_0116,37,18.2462,0.8357,23.7589,0.9302,train
train_0117,9,17.7698,0.7823,21.4528,0.8831,train
train_0118,17,16.1894,0.912,27.2141,0.959,train
train_0119,40,13.2503,0.8088,23.011,0.9057,train
train_0120,19,19.5157,0.8702,25.9142,0.9474,train
train_0121,20,12.3512,0.88,24.8509,0.9407,train
train_0122,24,20.3722,0.9362,24.3718,0.9428,train
train_0123,4,11.7584,0.8176,26.6619,0.9632,train
train_0124,16,11.6599,0.7948,23.3733,0.9147,train
train_0125,7,18.361,0.8408,22.5258,0.9044,train
train_0126,24,24.5156,0.9414,27.4469,0.9621,train
train_0127,38,6.2902,0.6358,21.4752,0.8489,train
train_0128,18,17.7181,0.8077,22.5481,0.9119,train
train_0129,45,10.9358,0.8255,22.7004,0.9113,train
train_0130,41,17.1641,0.8674,21.41,0.8806,train
train_0131,44,19.5239,0.8701,24.098,0.9324,train
train_0132,20,16.0273,0.9239,29.3257,0.9778,train
train_0133,5,18.1824,0.845,25.9327,0.9544,train
train_0134,40,20.0162,0.8488,22.9549,0.9092,train
train_0135,16,14.7391,0.8221,21.4677,0.872,train
train_0136,36,15.5602,0.796,24.2301,0.931,train
train_0137,8,10.8322,0.7876,22.7559,0.9064,train
train_0138,26,10.8881,0.7874,21.3625,0.8566,train
train_0139,5,19.8956,0.8508,23.6077,0.9254,train
train_0140,43,8.8997,0.7571,22.1074,0.897,train
train_0141,19,20.8894,0.8498,25.3672,0.9426,train
train_0142,14,10.2909,0.8587,26.4228,0.9512,train
train_0143,5,14.056,0.8248,26.0109,0.955,train
train_0144,17,9.061,0.8177,25.9252,0.9523,train
train_0145,36,16.618,0.8037,20.9994,0.8622,train
train_0146,1,13.6655,0.7377,20.0177,0.8291,train
train_0147,26,6.6586,0.6893,22.6556,0.8843,train
train_0148,34,19.8053,0.8334,22.9054,0.9054,train
train_0149,3,16.3415,0.8262,23.6831,0.9259,train
train_0150,41,5.0519,0.6357,21.1943,0.8788,train
train_0151,18,17.761,0.8166,19.9631,0.8455,train
train_0152,50,17.4886,0.8589,26.2772,0.9518,train
train_0153,38,19.2483,0.8114,20.2203,0.825,train
