id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
test_0082,39,5.3031,1.4648,7.5643,0,0.9306,2.5015,test
test_0083,49,3.01,0.8314,6.0779,1,0.943,104.2363,test
test_0084,49,3.2683,0.9027,5.0297,1,0.9656,67.3288,test
test_0085,11,2.6936,0.744,5.4674,1,0.9655,2.5244,test
test_0086,35,14.6348,4.0423,26.3702,0,0.8393,52.0166,test
test_0087,39,4.9576,1.3693,7.2201,1,0.8745,107.2397,test
test_0088,39,9.8338,2.7162,10.4152,0,0.7312,2.9553,test
test_0089,39,4.2825,1.1829,6.4341,1,0.9571,2.4816,test
test_0090,49,9.0251,2.4929,12.2736,0,0.8886,37.6847,test
test_0091,33,7.1022,1.9617,12.076,0,0.9003,120.0397,test
test_0092,39,6.7347,1.8602,9.036,0,0.9161,2.2573,test
test_0093,33,5.2502,1.4502,6.8032,1,0.9264,79.411,test
test_0094,11,12.7937,3.5338,21.1124,0,0.8249,71.7331,test
test_0095,49,3.83,1.0579,7.1305,1,0.9467,86.9503,test
test_0096,39,4.4199,1.2208,6.1332,1,0.9256,5.3677,test
test_0097,35,4.832,1.3347,6.6525,1,0.9403,2.5054,test
test_0098,33,12.1621,3.3593,16.6516,0,0.7178,114.8849,test
test_0099,49,5.6558,1.5622,6.489,1,0.9331,2.5202,test
test_0100,33,21.9158,6.0534,35.3843,0,0.7136,74.044,test
test_0101,33,1.8616,0.5142,3.3698,1,0.9715,4.1364,test
test_0102,33,3.6144,0.9983,5.5918,1,0.9459,2.2822,test
test_0103,33,5.2734,1.4566,9.3446,0,0.9474,31.9166,test
test_0104,35,12.4426,3.4368,21.222,0,0.803,83.6754,test
test_0105,35,2.8305,0.7818,5.9728,1,0.9402,2.426,test
test_0106,33,5.4734,1.5118,7.2542,0,0.9304,75.2059,test
test_0107,11,19.2367,5.3134,24.1211,0,0.8283,88.5505,test
test_0108,49,7.9602,2.1987,12.7951,0,0.9306,83.5354,test
test_0109,11,6.399,1.7675,8.8584,0,0.9099,2.2653,test
test_0110,39,2.1036,0.5811,3.4371,1,0.9657,2.3788,test
test_0111,39,3.4298,0.9474,7.1861,1,0.9568,80.4764,test
test_0112,11,10.4956,2.899,18.3937,0,0.8823,94.9229,test
test_0113,35,5.0897,1.4058,6.5869,1,0.9548,55.097,test
test_0114,39,4.2012,1.1604,7.4179,0,0.96,20.925,test
test_0115,11,4.9179,1.3584,8.419,0,0.8798,110.0273,test
test_0116,11,6.5446,1.8077,9.5657,0,0.8957,2.5844,test
test_0117,39,4.3724,1.2077,8.7388,0,0.9366,4.2389,test
